deficiency_code,annotation_severity,InspectionDate,PortId,VesselGroup,age,deficiency_finding,description_overview,immediate_causes,root_cause_analysis,corrective_action,preventive_action,detainable_deficiency
2112,Medium,2023-03-22,1001038,Dry Bulk,7.055441478439425,The hull was corroded.,The master was told to put in place safety procedures for access to the ship from shore.,Clarifications were given.,The inspector was told by the Master that the condition of the hull had been identified and reported to the company.,The Master held an additional safety meeting where all deficiencies were reviewed.,The Master held an additional safety meeting where all deficiencies were reviewed.,No
3102,Medium,2023-09-10,2228,General Cargo,11.775496235455169,The scale draft was not readable.,The FWD port side draft marks are covered with rust and are not clearly visible.,The immediate cause of the defect was due to the exposure to the marine environment.,"Due to the long voyage, there was no option to maintain the draft marks on the last port of call.",Master instructed deckhands to paint at the first available port.,The crew was advised to keep the draft marks up to date.,No
18327,Medium,2023-09-26,1366,Dry Bulk,18.90759753593429,The Vent Head of the Bilge Tank Crack is very old.,Poor maintenance and supervision.,Lack of documentation.,Maintenance was carried out on the FO tanks vent heads.,"The significance of inspection and maintenance of structures on deck, hull and accommodation was briefed by the master.","During the next safety committee meeting, the safety meeting master will have a discussion with the crew about the inspection method and part substitution.",No
1324,High,2024-01-09,1000383,Dry Bulk,11.523613963039017,Several connections boxes and junction boxes on deck in poor conditions are not required.,PSCO observed 5 overhead lights with wiring terminated outside or a junction box located in the vicinity.,"Equipment failure, malfunctioning, and lack of verification.",There is a lack of maintenance.,"New boxes were ordered and will be delivered at the next port of call, Turkey.","At the next Safety Meeting, deficiencies will be discussed.",No
8108,Not a deficiency,2023-10-02,741,Dry Bulk,3.7508555783709774,The UMS system couldn't be used for several days in September because the crew couldn't provide evidence.,The UMS working arrangements engineers undertake are not outlined in the table of shipboard working arrangements.,There are human factors.,"In normal working days at sea and port, engine room is kept in UMS mode and the time for the required safety rounds was inputted on to the comment section of the table of working arrangements.",There is a table of shipboard working arrangement for UMS and manned condition.,The incident is shared across the fleet to avoid reoccurrence.,No
1134,High,2023-08-25,3639,Dry Bulk,7.646817248459959,The crew doesn't know how to operate a life raft float free.,Managers noted deficiency.,Defective equipment.,"Insufficient implementation of safety instructions, incorrect use of safety equipment, inadequate seamanship practice, routine/ slackness, inadequate skills/ knowledge, Lack of Compliance were all identified in the root cause analysis.",The Non Conformity PSC2 304 was raised by the Safety Department.,"The training on proper fitting and installation of HRU was carried out on August 26, 2023.",No
9109,Medium,2023-06-02,3050,General Cargo,11.668720054757015,The insulation indicator is lower.,It was not possible to confirm if the disposal method of the operational garbage was in line with the MARPOL rules because the Garbage Log did not record it.,Substandard acts.,The distribution box outside lights had low insulation.,The distribution box was disconnected.,The Responsible Engineer was instructed by the inspector to check the insulation weekly.,No
1101,Low,2023-03-27,4675,Dry Bulk,24.07118412046544,The form E indicates that there is no back up for nautical publications.,"During the cable break test, the fire detection system didn't show an alarm.",The original cargo cleaning pump was not fully guard by the safety net.,Form E did not reflect digital publications installed.,Class annuals have been scheduled at the same port and the master instructed the class to amend Form E accordingly.,The Monthly Alert Bulletin will be sent to all fleet vessels with instructions to verify compliance.,No
7123,Medium,2024-01-11,1002458,Dry Bulk,3.863107460643395,There is an operation procedure posted in the CO2 room.,The engine room has a CO2 alarm.,The crew was not familiar with the operation of the fixed CO2 firefighting system.,The officers overlooked the requirements for the CO2 alarm system.,Master created a sign for the pilot valve box cabinet.,All safety equipment must be placed close to the equipment in order for the meeting to be included in the next safety meeting.,No
14110,Low,2024-03-28,348,Dry Bulk,12.37782340862423,The bolts of the discharge connection port side were found to be corroded.,The inspector's comment is acknowledged.,The person failed to comply with the requirements.,There is a lack of maintenance and a safety culture.,The bolts were replaced with spare ones.,"In order to avoid such recurrence in the future, the Chief Engineer told the engine crew to always thoroughly check and renew the heavily rusted bolts of discharge connections.",No
7108,Medium,2023-02-28,4068,Container,3.159479808350445,The port main deck has a fire fighting box.,Not seen because these tools can't be stored in one place and they were kept on different places and designated places.,There were different locations for fire nozzles.,The nozzles will be removed from the fire hose boxes.,Training was carried out for all the crew.,The crew should not remove fire nozzles from the fire boxes.,No
16101,Medium,2024-01-31,3513,General Cargo,14.165639972621491,PSCO identification is not checked on arrival.,The locking pins for the damper's handle were not aligned when the damper was completely shut.,The agent didn't report to the PSC office because he didn't receive the letter from the flag.,The crew did not ask for his identification as his position was clear already.,The PSCO showed his deficiency by himself.,The SSO was reminded that he should always ask for an ID check.,No
17101,High,2023-02-14,1247,General Cargo,13.286789869952088,Sewage treatment plant equipment is out of order.,There is a sewage treatment plant.,The sewage treatment plant was out of order.,He overlooked two failed components because he didn't have enough experience in servicing the plant.,The vessel was allowed to sail out after the condition of class(CC) was imposed.,"Sewage treatment plant maintenance and operations is part of standard engineering competency, however this case will be published in quarterly QHSSE bulletin in order to improve awareness.",No
14101,Low,2023-03-02,3203,Dry Bulk,12.498288843258042,The oily water separator transfer pump has a leak.,Including pipe and valves.,The modification to the shipboard piping drawing was already class approved prior installation.,There is a lack of maintenance and inspection base on MARPOL Annex I.,"Before sailing, the new packing will be replaced.",The pollution prevention measures should be based on the MARPOL Annex I requirements.,No
1105,High,2022-08-02,3275,General Cargo,13.749486652977414,Cargo ship safety is included in the exemption.,"At the time of inspection, the exemption had expired but the conditions were still required to be completed onboard.",Substandard acts.,The Dutch flag made a proper decision on the steps to be taken after the exemption expired.,"To get an official decision, the company needs to contact the various parties in this matter.",The certificate will be renewed with a new date without any major changes.,No
4114,Medium,2023-11-14,2934,Dry Bulk,14.03422313483915,The water system has a fault alarm.,"There is a cover letter for the Tonnage Certificate, but it is not available on board.",Failure to follow repair/ maintenance instructions.,There is a lack of supervision.,There was a re-tightened wire connection.,"During the extra safety meeting, a discussion of the present deficiency was done.",No
11126,High,2024-04-29,2302,Dry Bulk,4.492813141683778,The lock on the rescue boat is a manual one.,"In the crew mess room, it was observed that the certificates were not pasted.",The crew didn't input drill time into the record.,"There is a harsh maritime environment, inadequate maintenance schedule, and oversight.",The seized interlock mechanism needs immediate repair or replacement.,To share lessons learnt with office staff as well as the fleet to review/discuss and correct where required to avoid similar finding.,No
4106,Medium,2023-08-22,1152,Dry Bulk,10.888432580424366,Steering position to exit door is not provided.,The walkway was painted with anti-skid paint.,"Due to the short port stay at Onsan, S. Korea, the UWC was canceled and Underwater Cleaning was carried out at Yeosu.",It was assumed that the new coat of paint would diminish the antiskid property of the walkway.,The staff applied a thin coat of paint and 888-609- 888-609- 888-609- 888-609- 888-609- 888-609- 888-609- 888-609- 888-609- 888-609- 888-609- 888-609- 888-609- 888-609- 888-609- 888-609- 888-609- 888-609- 888-609- 888-609- 888-609- 888-609- 888-609- 888-609- 888-609- 888-609- 888-609- 888-609- 888-609- 888-609- 888-609- 888-609- 888-609- 888-609- 888-609- 888-609- 888-609- 888-609- 888-609- 888-609- 888-609- 888-609- 888-609- 888-609- 888-609- 888-609- 888-609- 888-609- 888-609-,This finding is being shared with the fleet.,No
14402,High,2024-03-21,3083,Dry Bulk,18.72142368240931,There are no chlorine tablets in the sewage treatment plant.,The watchkeepers missed a chance to check the contents of the compartment for chlorine tablets.,The valve that goes to the sewage treatment unit is not rotating.,The checks to make sure the quantity of chlorine tablets was enough were not effective.,There was a note posted near the chlorinator to check for chlorine tablets.,Training is carried out for all crew members to confirm compliance with the work order.,No
2108,Low,2024-02-27,953,Dry Bulk,11.739904175222453,There is a steering gear compartment.,The steering gear compartment has electric cables near the securing tray.,The vessel did not have to have certs onboard.,Good maintenance is not kept onboard.,All wasted cable ties have been replaced with new ones.,"Senior officer keep an eye on crew maintenance work, ensure all work is done correctly, and check crew work during a ship visit.",No
3111,Medium,2022-07-07,1251,Oil,14.015058179329229,The P&S rubber seals partially perished.,The P&S rubber seals partially perished.,Minor damages to Tank Dome seals were noted during the inspection.,Senior officers did not adequately instruct the staff that seals must be replaced even for minor defects.,Replacement of tank dome seals was ordered by the chief officer.,"Even if there are minor defects, tank dome seals must be replaced even if there is a deficiency.",No
14613,High,2023-08-03,1459,Dry Bulk,12.09034907597536,There are no entries in the records for the main engine and auxiliary engines since the year 2021.,The PSC deficiency was caused by the PSC Inspector keeping the records in hard copy.,ISM Code regulation 11 'Documentation' is misinterpreted.,The Master began keeping the documentation in hard copy in order to satisfy the PSC Inspector.,The Classification Society was invited to conduct an Occasional Survey.,There will be an Internal Audit within 3 months and an External Audit within the next H&S meeting.,No
7109,Medium,2022-10-05,3229,Dry Bulk,7.263518138261465,The water mist repeater on the bridge is malfunctioning.,The water mist repeater on the bridge is malfunctioning.,The system was moved to the local stand.,There is a lack of daily safety inspection on board.,The system was switched back to auto mode.,The report will be shared with fleet vessels.,No
7106,High,2023-09-28,227,Dry Bulk,10.491444216290212,The programme to test fire detection systems on a weekly basis has not been carried out for the month of September.,"In September, the monthly inspection record of lifeRAFT was updated.","In the month of September, the weekly check of smoke detectors was not transferred to the quarterly report.",Insufficient supervision.,Data of weekly routine checks must be input.,"During attendances, compliance will be verified.",No
16103,Low,2024-02-20,1002441,Dry Bulk,17.30321697467488,There was medicine in the first aid box.,Some of the medicines inside the first aid box need to be replaced.,Failure to follow instructions.,Failure to follow instructions.,"If any expired medicines were found in the first-aid boxes, they were replaced with new ones.","During the meeting for enhancing shipboard management and crew's responsibility, a relative training course was provided to all shipboard crews.",No
9127,Low,2023-06-06,4856,General Cargo,15.594798083504449,There were insects noted inside the light covers.,There were insects noted inside the light covers.,There were a lot of flies around the vessel.,We didn't remove the dead flies before we arrived.,Light covers were removed and cleaned.,Light cover for any flies trap should be included in a routine inspection.,No
13199,Medium,2024-01-11,942,Container,15.7782340862423,The pressure gauge of No.1 and No.2 is unreadable.,The failure to identify faded and inoperable gauges was the result of inadequate monitoring.,There was a malfunction with the sample pump.,The failure to identify faded and inoperable gauges was the result of inadequate monitoring.,She was at the port when the deficiency was closed.,All engine room staff will be advised to report malfunctioned monitoring equipment if the finding is discussed in the next ships safety meeting.,No
7108,Medium,2023-09-28,4159,General Cargo,13.242984257357977,There is ready availability of fire fighting equipment.,There is a fire extinguisher that is missing.,The acts are substandard.,Insufficient leadership.,I don't know.,I don't know.,No
14811,Medium,2023-06-15,3188,Chemical,10.121834360027378,There is an isolation valve in the middle of the ship.,Each vessel and its equipment must be maintained in a state of complete operational order and in accordance with all requirements of regulatory bodies and regulations.,The immediate cause of the defect was due to the exposure to the marine environment.,Exposure to the prevailing marine environment causes wear and tear.,Regular pressure tests are carried out to verify the integrity of the system.,Continuous check and test of the deck equipment and piping system as required by the company.,No
14501,Low,2024-05-22,3083,Dry Bulk,4.224503764544832,The freeZER was not listed in the management plan.,The position and number of fireman outfits are not listed in the fire plan.,There are human factors.,There is a defect cause.,The management company immediately amended the garbage plan to include the Freezer as a means of disposal.,"If there is a change in equipment, procedures, or lay-out, it is important to review the GMP.",No
14404,Medium,2023-04-14,2113,Container,13.36618754277892,The sewage discharge valve was not locked.,"The vessel is fitted with OWS, type- 3Sep OWS-5m3/h, Oil Filtering equipment with alarm and automatic stopping device.",Defective valve of sewage system is an immediate cause-substandard act.,There are 12 factors that can cause a job to fail.,The discharge valve to Aft peak tank was replaced because it was stuck in shut position.,The topic will be discussed during monthly safety and management meetings.,No
2135,Medium,2024-05-13,1439,Chemical,19.86584531143053,The cable under the passage on deck is in poor condition.,"About 60 percent of the supports are in poor, corroded or damaged condition.",Wear and tear.,Wear and tear.,These are known and followed conditions and could not be fixed during the winter.,"This observation will be shared and discussed during company-run seminars and in house pre-joining meetings, as regular checks and maintenances will continue to ensure vessels condition and further actions will be taken if required.",No
2128,High,2024-01-29,1204,Dry Bulk,11.07460643394935,The valve remote control system is malfunctioning.,"The cargo is listed in the shipper's declaration as a group B cargo, but there is no information on the chemical hazard of the cargo.",Didn't report the broken equipment to the company.,The forward valve of Forepeak was not functional due to wear and tear and was reported to the flag administration on the same day.,The forepeak store valve and valve remote control system was replaced by a vessel.,"In order to confirm compliance, the Master shared his experience across the fleet.",No
7109,High,2023-05-19,2679,Dry Bulk,10.770704996577686,There is an obstruction for the deck fire main line.,Line-throwing appliance containers are no longer valid.,There are human factors.,The crew did not clear the astern drain valve.,Remove the astern drain valve for the deck main line.,Training crew checks main line valves on a regular basis.,No
18426,High,2023-04-13,2318,Dry Bulk,9.27857631759069,The springs on the No.1 and No.2 cargo hold fwd are not tensioned and are wasted.,The rope was inspected prior to the vessel's arrival and was found to be in good order during the last drill.,The covers can be opened and closed.,"Wear and tear, lack of attention, exposure to extreme conditions are some of the things that can happen.",Proper operation was ensured when the springs were maintained.,The information was given to the whole fleet.,No
13102,Medium,2023-06-15,1000288,Dry Bulk,15.288158795345652,The auxiliary engine has an air condition unit in the control room.,There is a gas detection unit for the air conditioning room on the vessel.,The actual status of the tapes is good but they are not in good shape.,The drain pipe of the air condition unit inside the engine control room was not working.,The drain pipe of the air condition unit can be dredged.,The engineers should be trained to inspect and maintain the air condition unit.,No
4115,Low,2023-11-20,4212,Dry Bulk,15.720739219712526,The main deck muster station is not clear.,The main deck muster station is not clear.,The Master didn't understand the document request.,The gangway was temporarily left close to the Muster station in order to be stored later in the day.,The parts were immediately removed and stored as appropriate.,There are daily safety rounds by OOW.,No
11134,High,2022-10-19,709,Dry Bulk,7.550992470910335,The crew doesn't know how to use the release hook for the rescue boat and life raft.,There were problems with the rescue boat engine cooling water pump.,3/O and C/O couldn't explain the operations of the release hook.,They didn't know how to use a release hook for a rescue boat and life raft.,Crew concerned for the operation of release hook for rescue boat and life raft launching under captain's supervision will be trained on board.,The company vessels will be given company circulars to share the case.,No
9203,Medium,2023-04-27,1278,Dry Bulk,8.317590691307323,Light for liferaft unlit.,There is a hand crank for the lifeboat.,The emergency light was adjusted to direct its beam towards the free-fall lifeboat and the switch was relocated to a safe position.,"Incorrect tools, equipment, materials, and inadequate inspection are some of the things that can go wrong.",The sudden malfunction of the launching light for liferaft was fixed from the vessel's stock prior to the completion of the inspection.,The ship's engineers and safety officer were reminded of the importance of the proper shipboard inspections on the critical equipment in order to make sure it is ready for use at all times.,No
12199,Low,2024-05-07,2713,Chemical,26.09993155373032,The cover for the emergency stop cargo pump is missing.,There are other DEFICIENCIES.,There are bad equipment.,There is inadequate technical design and design criteria.,The additional protection cover was installed in keeping with the continuous improvement policy of the company.,The crew members were briefed on the importance of good planning during the monthly safety committee meeting.,No
7199,High,2023-10-10,3505,Dry Bulk,8.276522929500342,Oxygen and Acetylene bottles are not caped and there is a connection valve still in place.,"Due to long voyage from China to Canada and restrictions in the ports along the way, empty bottles could not be landed.",The vessel not update and poster on time was due to the port facility security level.,There is a lack of acknowledge for the management of dangerous goods.,"Acetylene and Oxygen bottle stowed separately with disconnected pressure regulation valve and outlet tube, carry out safety training.","Acetylene and Oxygen bottle stowed separately with disconnected pressure regulation valve and outlet tube, carry out safety training.",No
11112,Low,2024-03-13,1789,Dry Bulk,12.112251882272416,Emergency systems.,The Emcy light is hanging loose in the cables without mounting.,There are bulbs on the vessel.,There is a lack of maintenance.,The emergency light on the Stbd bridge wing needs to be renewed.,Narendra Bisht is responsible for regular inspections of emergency lights.,No
14107,Medium,2022-08-09,1689,Ro-Ro,14.18754277891855,The repair of the valve will be done under the supervision of RO.,The captioned vessel is issued with an International Ballast Water Management Certificate by Class NKK under the UK flag and endorsed on the certificate with validity until 25th November 2024.,No defect was identified.,"There was a lack of interest, poor maintenance, and no regular inspections.",A damaged magnet valve will be replaced.,A person in charge of equipment maintenance should report any failure immediately.,No
1125,Low,2023-08-17,439,Dry Bulk,22.04243668720055,The EIAPP statements of compliance were issued by RINA instead of the EIAPP certificates.,"The PSC officer noted that EIAPP statements of compliance existed on board for ME and 3AE, instead of certificates as per MALTA flag requirements.",Poor certificate management by Master resulted in EIAPP certificate not being returned to certificate file folder.,Insufficient knowledge by attending the RINA Surveyor to issue the proper EIAPP Certificates.,There were 4 new EIAPP certificates left on board after RINA Surveyor attendance.,Monthly Alert bulletin will be used to circulate the deficiency.,No
11123,Medium,2024-03-11,3275,General Cargo,31.274469541409992,Emergency equipment for communications.,There is a dedicated battery that is not sealed and marked for emergency use.,The request was made via agent in port Hull.,There is a lack of attention.,There is a new order.,See issued measures for preventive measures.,No
7125,Medium,2023-05-30,2270,Dry Bulk,13.492128678986996,A crew member wearing a fireman outfit is not familiar with the proper use of self-contained breathing apparatus.,A crew member wearing a fireman outfit is not familiar with the proper use of self-contained breathing apparatus.,The correct donning procedure was explained to the crew members after they were briefed on the inspector's concern.,The person selected by PCSO was not able to demonstrate the pressure check.,"During the additional fire drill, all crew members were given additional training on the use of the BA set.","Every fire drill should include checking of the equipment given to the fire-fighting team, assigned in the muster list, and the knowledge of the correct use of this equipment.",No
14608,Low,2023-07-26,1134,Dry Bulk,10.234086242299794,Incinerator is not working.,There was excessive Hull Growth on the stern and port side of the vessels.,The company in the port of San Lorenzo was able to repair the problem before it was closed out by Flag.,Delivery time by supplier is 30 days.,Delivery time is 30 days as per supplier.,The crew will be told about the subject finding at the first safety meeting.,No
7199,Low,2024-01-11,942,Container,15.7782340862423,There is paint in a store.,Poor judgement when storing paint in a store.,The ship crew doesn't have a concept of garbage management.,Poor judgement when storing paint in a store.,The deficiency was closed when she was at the port.,The finding will be discussed in the next safety meeting with the crew about good seamanship and fire prevention procedures.,No
14699,Low,2024-06-05,1119,General Cargo,15.263518138261464,The EEXI technical file was not provided by the PSC.,"All the vessels need to have a certain number of mandatory, hazard, safety, fire, direction and prohibitory signs.",Poor order.,There are insufficient information documents in supervision.,The EEXI Technical File was sent to the ship managing company by e-mail.,There is a file folder onboard.,No
7109,Low,2024-06-04,1002458,Dry Bulk,13.927446954141,There is no evidence that the flexibility of the room has been changed.,An Occasional Survey was carried out at the request of the owner after deficiencies were pointed out by the USCG Mobile.,There are human factors.,Master's and CE failed to identify that the certificate was not available onboard.,"The last renewal of the CO2 system flexible hoses took place in Paradip, India.",Keeping proper filling of vessel's certificates and survey records is important in order to avoid similar observations in the future.,No
99102,High,2023-12-12,936,Dry Bulk,16.449007529089666,There was a reference to the Statement of Fact Bunker Oil spill in the ORB.,The Oil Record book states that the spill from the #2 HSFO (S) tank was verified by the CCS.,"Failure to follow R&R, inadequate records are direct causes of unsafe acts.",There is a lack of standards in the forms VP09 and ORB.,There will be a discussion of corrective and preventive actions at the end of December.,"Engine personnel were refreshed for Bunkering Safe Working Practices, Company's Procedures and proper ORB recordkeeping using relevant SMS procedures and INTERTANKO Guidance available in e-SMS.",Yes
5105,High,2024-06-28,2595,Dry Bulk,17.32785763175907,The radio communication system can't be powered by the battery DC supply.,"During the inspection, the inspector told 2/O to cut off the AC and AC switch, but they didn't know how to do it, so he switched off the DC breaker with the AC and AC switch.",The procedure for changing from AC to DC power was not explained by the 3rd officer.,The training of the DC power operation for the HF/MF onboard was not done well.,The electrical engineer was scheduled to attend the vessel to fix the issue and provide the training on DC operation for the master and related crew.,"To avoid a similar recurrence in fleet in future, the DC function of HF/MF should be checked and tested regularly.",No
18322,High,2023-11-22,3126,Dry Bulk,8.14236824093087,There are no liens at the Baltimore Management Panel.,There was no evidence of familiarity in the emergency duties of the last crew members.,An arrangement was made to fix the emergency fire pump.,There is a lack of safety awareness onboard.,The staff placed the mat during the inspection.,"During the weekly round, the officer in charge is reminded to conduct a thorough inspection.",No
4103,Low,2023-04-12,2135,Dry Bulk,12.947296372347708,There isn't an emergency light for the free fall launch area.,There are adequate guidelines incorporated in the safety manual and the abandoned ship drills.,"Bulk carrier was stated in the ship's classification certificate, along with other cargo ships.",Installation wasn't done on the ship's design and drawing.,The emergency light was installed on the poop handrail.,Master and Chief Officer will supervise the duty persons.,No
13108,Medium,2023-09-19,493,Dry Bulk,18.628336755646817,"The machinery, boilers, and other pressure vessels associated piping systems and fittings should be of a design and construction adequate for the service for which they are intended.",The boat cooling water port was blocked by a fire.,"After the last tryout/ testing on 21st January, the ship staff failed to carry out the post operational test to ensure no obstruction on the cooling water inlet mesh.",The officer noticed a leak from the cooling water line.,"To address the problem, our crew was instructed to conduct a comprehensive inspection of all cooling water lines, to identify any loose, or inadequately tightened connections.","During the Safety Committee Meeting, the deficiency along with corrective and preventive actions were discussed.",No
14108,Medium,2024-06-26,3060,Dry Bulk,14.236824093086929,The weapon is being tested at the factory.,All emergency lights are checked on a weekly basis as part of the port pre-arrival checks by the electrical officer.,Substandard Act by External Party (Not Under Own Control),"During the first test, the three-way valve activated, triggering both audio and visual alarms.",The engine crew repeated the test multiple times after the inspector left the vessel.,Proper resetting procedures (15 PPM test) that need to be applied at all times were offered for refresh training.,No
1306,Low,2023-04-14,718,General Cargo,10.28062970568104,There are no posted schedules for keeping an eye on the engine room.,The deficiency was fixed by the PSC inspector.,"DirectCauses - Unsafe Acts/ Unsafe conditions: failure to follow R&R/ SSP, failure to secure, inadequate guards & barriers, indirect causes",The 3rd Officer forgot to replace the table because of Lack of Due Diligence.,Posted a table in the control room and checked all the post offices to make sure there were no missing documents.,There needs to be a complete training on how to use the arsenal table.,No
13199,Medium,2023-10-23,1160,Dry Bulk,14.105407255304586,The air conditioning unit is malfunctioning.,There are excessive belts on between the motor and compressor.,The procedure for changing from AC to DC power was not explained by the 3rd officer.,The Galley AC was found to be out of order after the AMSA inspection.,The faulty AC compressor was replaced and the unit was found to be functioning.,The deficiency was brought to the attention of the fleet at a safety meeting.,No
14602,Medium,2022-09-21,240,General Cargo,14.97330595482546,The books of engine parameters should be kept.,The record books of engine parameters are not always filled in.,The third mate was not aware of the special requirements of the Nav logbook regrading drill record.,The engineer's duties can cause records not to be done consistently.,NOx related records were supplemented immediately.,The Chief Engineer instructed on records related to NOx.,No
7110,Low,2023-05-29,892,Dry Bulk,8.158795345653662,The safety lamp is not ready for use.,The inspector demanded to check the sample from the discharge pump after he was informed about the status of the overboard valve.,"During the sea passage, the embarkation ladder shackles were disconnected to protect the rope end from exposure to the sea, but they were not reconnected after passing through an area of heavy weather.",The importance of FFE appliances was neglected by 3/O.,3/O immediately tightens the loops lump bulb and safety lamp.,ISM PIC implemented an enhanced monitoring program for 3/O's routine inspection duties of FFE.,No
16103,Low,2024-06-22,5444,Dry Bulk,12.057494866529774,"On the main deck and entrances, there is information that the ship has closed circuit television cameras, however, according to the SSP, it does not have that security equipment.",The equipment was not listed in the SSP.,There is a person named Nil.,There is a person named Nil.,There is no requirement to include the equipment in SSP.,There is a person named Nil.,No
18317,Low,2022-07-21,467,Dry Bulk,8.054757015742641,The meat room has food waste in it.,It was not possible to confirm if the disposal method of the operational garbage was in line with the MARPOL rules because the Garbage Log did not record it.,The Master and C/O didn't know how to enter the Garbage Log.,The vessel was drifting at the coast of Poland due to the delayed berthing schedule.,Conducted training to all ship personnel to follow the garbage management plan.,"To ensure the onboard housekeeping is maintained in a good manner, the master should conduct a joint inspection with the head of department.",No
1218,Low,2022-08-13,3417,Container,6.781656399726215,An Indian crew is holding scanned Medical Certificates.,The emergency steering drill procedure was not followed.,Failure to comply with Customer / Stakeholder requirements is an immediate cause-substandard act.,Lack of competence is one of the personal factors.,Office assistance will be needed to get new certificates from the medical center.,To verify the certificates prior to the crew member joining the vessel.,No
1218,Low,2023-06-30,4950,Dry Bulk,12.492813141683778,Medical fitness for a second engineer who isn't on board.,A drill has been conducted in order to complete the mission.,Substandard acts.,"After the 2nd engineer boarded the vessel, a black and white copy of the medical certificate was provided.",The original medical certificate was given before the departure from Port of Boryeong.,"Section 3 Management of Crew Qualifications and Certificates and Section 4 Medical certificates should be provided to the all fleets, in the Crew Management, as requested by the revision of the phrase.",No
12106,Low,2023-05-07,3529,Dry Bulk,15.096509240246409,Incinerator - pressure gauge,There is a light on the boat deck.,There was a broken light bulb on the boat deck.,"When the main burner is started, the pressure on the burner goes up and the pressure on the burner goes down.",Chief Engineer told the crew to take a photo of the ignition burner pressure gauge.,The method of giving proper explanation to inspectors was taught by the Chief Engineer.,No
18428,High,2024-04-02,1152,Dry Bulk,12.41889117043121,The crew won't be allowed to work at height when they prepare the cargo in this voyage.,The crew won't be allowed to work at height when they prepare the cargo in this voyage.,The crews were not aware of the requirement of shipboard maintenance by painting and store management procedure.,The associated permit to work - Work Aloft Permit could not be located at the time of inspection due to inadequate filing of the permits.,The work permits were filed in the Chief Officer's system and code 10 was given by PSCO.,The importance of accurate record keeping of the permits to work for the maintenance tasks was emphasized during the meeting.,No
10127,High,2022-11-25,2302,Dry Bulk,11.57015742642026,Local fish area safety navigation information is not included in the passage plan.,Gas concentration safety checks have not been recorded in the ship's logbook.,Senior's staff did not monitor and update the Garbage Management Plan.,The master didn't check the feasibility of the voyage plan.,Timely review and correct the voyage plan prepared by the second officer.,The voyage plan should be prepared in strict accordance with the company system.,No
11131,Medium,2023-12-16,3417,Dry Bulk,6.954140999315538,On board training and instructions.,The SOLAS training manual is incomplete and not vessel specific.,The ship's plans for recovery of person from the water were not mentioned due to lack of review and supervision by the master and the person in charge.,The SOLAS training manual contains the recovery of rescue boat general instruction.,The specific instruction was attached to the SOLAS training manual.,The crews should check the SOLAS training manual for the specific equipment.,No
18411,Medium,2022-11-01,2371,General Cargo,12.251882272416154,There is no eye wash in the paint locker.,"The limit switches for each door from bridge to navigation locker and stairway, which are installed to avoid obstructing vision of bridge watch by lighting from other places, were not moving smoothly during inspection.",There is an eye wash station in the steering room next to the engine workshop.,There is a lack of proper supervision by the safety officer.,To place the new eye wash kit in the paint locker.,The instructions for eye wash kits will be posted in the paint and chemical store.,No
1308,High,2023-05-16,1439,General Cargo,23.03901437371664,There is no evidence if adequate rest is granted.,deficiency was raised during the Port State Control Inspection.,"Rules, regulations or procedures are not followed.",There were no records for the month of April that the duty engineer's hours of work and rest were recorded.,"When their normal rest was disturbed by an alarm, duty engineers recorded the time on their record of hours of rest.","If an alarm is activated at duty engineer's watch, it should be recorded as their normal period of rest is disturbed, even if it's a false alarm.",No
5199,Medium,2023-09-29,1036,Dry Bulk,4.246406570841889,The vessel does not carry ETO because of the expired shore based maintenance agreement.,Technical teams worked with the vessel on trouble shooting and attendance of the maker's technician during dry dock in March 2024 after the scrubber dumper inoperable condition was reported to the technical department.,There are human factors.,The latest shore based maintenance agreement was not provided by the technical department.,A new shore based maintenance agreement has been provided by the company technical department.,The CTO gave a warning to the company's technical department.,No
18315,Medium,2022-07-26,2727,Dry Bulk,11.597535934291582,Vegetables in storage are rotten.,The inspector's comment was acknowledged.,Substandard acts.,The crew didn't notice the rotten or spoiled provisions in the fruits area.,The rotten fruits were removed from the vegetable room and placed in the garbage area.,"Finding will be communicated to all vessels, under the management in the form of Fleet Notice, aiming to avoid re-occurrence, requesting a refresh training of the catering staff with the company's Catering Handbook.",No
5111,Medium,2024-01-18,2302,Dry Bulk,10.63107460643395,The expired date was for the HRU marking.,The company must take corrective action on the ISM system within 3 months.,Not under their control.,Insufficient practice.,The importance of checking the equipment's expiry date was discussed during the safety meeting.,The importance of checking the HRU actual expiry was discussed during the safety meeting.,No
14501,Medium,2024-03-16,2129,Chemical,14.789869952087612,"Mixed garbage was found in the engine room, as well as oily rags and a broken waste bin.",The PSC team found oily rags in the engine room.,Instructions for correction were given and the deficiency was fixed on-site during the inspection.,"Our procedures mandate strict compliance with the requirements of MARPOL Annex V and a specific garbage management plan, including the segregation and storage of each garbage category is available on board each vessel.","The damaged bin was removed, the pre arrival form was amended, and the corrective actions were verified by the PSC officers.",The above observation will be spread across the rest of the fleet vessels.,No
2113,High,2023-07-04,3633,General Cargo,22.50239561943874,HULL CRACKING IS A CONSEQUENCE OF COLLISION WITH A BARGE DURING BUNKER OPERATION.,There are numerous pipe support on the main deck that are cracked and Wasted.,There were 6 pieces of pipe support that were corrosive and 3 that werecracked due to insufficient maintenance.,Green Pearl was damaged due to the inability of the Bunker barge to maneuver.,The ship's damages were repaired at the shipyard.,"After repairs were done at Las Palmas Shipyard, deficiency was issued by the PSC officer.",No
